"TABLE 5. Average Published Tuition and Fees at Public Institutions by State in Current Dollars and in 2019 Dollars, 2004-05 to 2019-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,
In 2019 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,1-Year % Change,5-Year % Change,,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,1-Year % Change,5-Year % Change
Alaska,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"$3,435","$3,793","$4,194","$4,425","$4,678","$4,922","$5,261","$5,455","$5,785","$5,885","$6,138","$6,703","$7,128","$7,440","$7,821","$8,233",5%,34%
Arizona,"$1,393","$1,522","$1,660","$1,686","$1,821","$1,918","$1,979","$2,151","$2,204","$2,334","$2,430","$2,475","$2,559","$2,600","$2,582","$2,606",1%,7%,,"$4,078","$4,434","$4,674","$4,959","$5,584","$6,554","$8,075","$9,435","$9,728","$10,078","$10,396","$10,634","$10,931","$11,210","$11,545","$11,921",3%,15%
Arkansas,"$1,874","$1,980","$2,095","$2,138","$2,296","$2,378","$2,525","$2,663","$2,794","$3,006","$3,177","$3,403","$3,533","$3,610","$3,670","$3,761",2%,18%,,"$4,581","$4,980","$5,314","$5,599","$5,914","$5,980","$6,304","$6,654","$6,995","$7,251","$7,594","$7,882","$8,254","$8,550","$8,701","$9,033",4%,19%
California,$808,$810,$724,$633,$634,$817,$819,"$1,119","$1,419","$1,425","$1,428","$1,422","$1,426","$1,420","$1,428","$1,428",0%,0%,,"$4,195","$4,526","$4,549","$4,951","$5,436","$6,550","$7,485","$8,933","$8,986","$9,078","$9,171","$9,267","$9,302","$9,800","$9,875","$9,966",1%,9%
Colorado,"$2,218","$2,388","$2,376","$2,459","$2,550","$2,768","$3,122","$3,394","$3,577","$3,745","$3,900","$4,077","$4,265","$4,320","$4,510","$4,525",0%,16%,,"$3,733","$4,427","$4,772","$5,435","$5,792","$6,270","$7,078","$7,872","$8,441","$9,096","$9,283","$9,748","$10,287","$10,810","$11,157","$11,380",2%,23%
Connecticut,"$2,406","$2,536","$2,672","$2,828","$2,984","$3,200","$3,408","$3,490","$3,598","$3,786","$3,866","$4,048","$4,187","$4,310","$4,405","$4,505",2%,17%,,"$6,336","$6,754","$7,135","$7,574","$8,038","$8,456","$8,977","$9,217","$9,635","$10,232","$10,646","$11,174","$11,781","$12,180","$12,744","$13,664",7%,28%
Delaware,"$2,509","$2,679","$2,858","$2,996","$3,255","$3,418","$3,574","$3,817","$3,851","$4,050","$4,294","$4,414","$4,533","$4,720","$4,855","$4,925",1%,15%,,"$6,629","$7,050","$7,403","$7,808","$8,291","$9,012","$9,623","$10,438","$10,908","$11,259","$11,495","$11,676","$11,929","$12,180","$12,726","$13,292",4%,16%
District of Columbia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"$2,520","$2,520","$3,210","$3,770","$3,770","$5,370","$7,000","$7,000","$7,244","$7,255","$7,338","$7,421","$7,844","$8,060","$8,252","$8,444",2%,15%
Florida,"$1,780","$1,919","$2,031","$2,031","$2,292","$2,553","$2,773","$2,985","$3,091","$3,141","$3,176","$3,234","$3,234","$3,240","$3,246","$3,249",0%,2%,,"$3,054","$3,213","$3,315","$3,386","$3,825","$4,316","$5,034","$5,624","$6,235","$6,315","$6,334","$6,360","$6,355","$6,360","$6,353","$6,352",0%,0%
Georgia,"$2,075","$2,208","$2,236","$2,120","$2,104","$2,596","$2,800","$3,125","$3,315","$3,427","$3,599","$3,678","$3,770","$3,790","$3,802","$4,042",6%,12%,,"$3,411","$3,678","$3,909","$4,181","$4,453","$5,008","$5,872","$7,298","$7,539","$7,823","$8,049","$8,447","$8,415","$8,580","$8,544","$8,719",2%,8%
